image,split,cr,actual_cr,sigma,seed,method,stage,psnr,ssim
camera,test,0.1,0.1001129150390625,0.05,2028,hqs,5,27.31692916867875,0.6609126324479244
camera,test,0.1,0.1001129150390625,0.05,2028,hqs,6,26.87406577580959,0.6294318217695225
camera,test,0.1,0.1001129150390625,0.05,2028,admm,1,25.803845853623567,0.6014294082220843
camera,test,0.1,0.1001129150390625,0.05,2028,admm,2,26.882640842324108,0.6371985137385139
camera,test,0.1,0.1001129150390625,0.05,2028,admm,3,26.59798811834515,0.6085748750918112
camera,test,0.1,0.1001129150390625,0.05,2028,admm,4,26.57798174841591,0.6100867898872625
camera,test,0.1,0.1001129150390625,0.05,2028,admm,5,26.535288281059096,0.6012843001817502
camera,test,0.1,0.1001129150390625,0.05,2028,admm,6,27.109479714381383,0.6415629679114986
astronaut,test,0.01,0.01031494140625,0.0,2026,hqs,1,18.50655234442946,0.3605191124071971
astronaut,test,0.01,0.01031494140625,0.0,2026,hqs,2,19.35277674175779,0.4508020230540238
astronaut,test,0.01,0.01031494140625,0.0,2026,hqs,3,19.77772126388734,0.49994265636421914
astronaut,test,0.01,0.01031494140625,0.0,2026,hqs,4,19.981115902012302,0.5272692359938894
astronaut,test,0.01,0.01031494140625,0.0,2026,hqs,5,20.054320287304584,0.5434550581148045
astronaut,test,0.01,0.01031494140625,0.0,2026,hqs,6,20.06174314288273,0.5606439464713416
astronaut,test,0.01,0.01031494140625,0.0,2026,admm,1,18.42221452716364,0.3518806822564185
astronaut,test,0.01,0.01031494140625,0.0,2026,admm,2,19.451278795680363,0.4836338377604214
astronaut,test,0.01,0.01031494140625,0.0,2026,admm,3,19.85070803805829,0.5371926829982349
astronaut,test,0.01,0.01031494140625,0.0,2026,admm,4,19.97638264012631,0.5660431837911511
astronaut,test,0.01,0.01031494140625,0.0,2026,admm,5,20.041314303554145,0.5770250095138474
astronaut,test,0.01,0.01031494140625,0.0,2026,admm,6,20.07042134249041,0.5739310096070319
