image,split,cr,actual_cr,sigma,seed,method,psnr,ssim,seconds,relative_residual
page,test,0.1,0.1001129150390625,0.0,2026,admm,24.070358936673657,0.8529784093757616,3.198679291002918,0.004774124827235937
page,test,0.25,0.25,0.0,2026,adjoint,23.255558658002272,0.6296978825256023,3.458300489000976e-05,0.0047196256928145885
page,test,0.25,0.25,0.0,2026,fista_dct,23.113922344559278,0.6109273454126363,0.2427507499960484,0.0032742239083589256
page,test,0.25,0.25,0.0,2026,hqs,29.64006905481844,0.9517534893115759,3.1045824580069166,0.002876942278817296
page,test,0.25,0.25,0.0,2026,admm,29.55974056251893,0.9514923765422105,3.1003937920031603,0.003447979921475053
page,test,0.5,0.4998931884765625,0.0,2026,adjoint,26.382557134589728,0.7608423147627116,5.425000563263893e-05,0.005287288222461939
page,test,0.5,0.4998931884765625,0.0,2026,fista_dct,26.295037069873576,0.7412058968061209,0.26295362500241026,0.002526796909754523
page,test,0.5,0.4998931884765625,0.0,2026,hqs,37.11458265099444,0.9869322020673752,3.064194167003734,0.001744682900607586
page,test,0.5,0.4998931884765625,0.0,2026,admm,37.38194409525076,0.9873840778932571,3.1736072920029983,0.0019747428596019745
page,test,0.1,0.1001129150390625,0.01,2026,adjoint,21.117166098523686,0.49292620786638514,2.4084001779556274e-05,0.003217581892386079
page,test,0.1,0.1001129150390625,0.01,2026,fista_dct,20.8805214581032,0.47097492567461074,0.23521374999836553,0.002518587763265705
page,test,0.1,0.1001129150390625,0.01,2026,hqs,23.786642050524378,0.8344881265462079,3.3303282499982743,0.0033286605030298233
page,test,0.1,0.1001129150390625,0.01,2026,admm,23.80810034764496,0.8394818550489154,3.165502874995582,0.004454656504094601
page,test,0.1,0.1001129150390625,0.01,2027,adjoint,21.11685353124841,0.49275782783280686,2.3208995116874576e-05,0.003194510005414486
page,test,0.1,0.1001129150390625,0.01,2027,fista_dct,20.91376576453138,0.475317511188695,0.22893216599186417,0.002399618447099376
page,test,0.1,0.1001129150390625,0.01,2027,hqs,23.782936985156113,0.8346579496710822,3.038120749988593,0.003508165944367647
page,test,0.1,0.1001129150390625,0.01,2027,admm,23.789754032942312,0.8396973969977889,3.1098948339931667,0.004454623907804489
page,test,0.1,0.1001129150390625,0.01,2028,adjoint,21.11654155404051,0.4922123052241942,2.245799987576902e-05,0.0032090325839817524
